-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、营业总收入(元),"2,836,616,805.80","14,355,283,742.39","9,929,810,544.81","5,916,012,581.88","2,586,393,798.93","11,799,716,612.16","8,219,271,227.99","4,897,173,821.10","2,131,478,393.12"
营业收入(元),"2,836,616,805.80","14,355,283,742.39","9,929,810,544.81","5,916,012,581.88","2,586,393,798.93","11,799,716,612.16","8,219,271,227.99","4,897,173,821.10","2,131,478,393.12"
二、营业总成本(元),"2,720,325,478.25","13,541,287,868.60","9,375,860,742.66","5,566,374,661.85","2,415,346,088.21","10,936,721,766.92","7,569,447,419.48","4,468,864,109.93","1,936,895,645.68"
营业成本(元),"2,552,561,708.58","12,753,943,827.89","8,780,561,894.78","5,183,535,868.79","2,242,018,242.22","9,942,135,278.38","6,879,377,650.45","4,072,206,125.75","1,784,143,040.14"
研发费用(元),"19,713,079.11","97,125,468.99","66,130,312.67","41,680,842.92","21,621,796.61","85,968,131.51","48,618,880.33",-,-
营业税金及附加(元),"5,080,720.90","33,914,306.24","24,737,534.61","16,782,446.66","9,350,019.41","37,200,891.76","27,967,308.71","35,320,131.62","8,351,366.45"
销售费用(元),"56,870,071.18","274,744,956.24","202,611,327.11","125,695,497.96","65,172,418.70","390,460,143.71","282,426,591.08","149,199,797.16","67,968,865.82"
管理费用(元),"45,760,361.40","232,820,601.40","163,089,060.67","109,079,510.60","47,182,508.26","278,212,246.51","187,233,857.26","143,565,557.46","63,386,122.08"
财务费用(元),"40,339,537.08","148,738,707.84","118,149,706.25","73,993,847.26","26,918,967.82","168,928,761.20","123,870,863.58","62,583,405.51","14,242,384.44"
其中：利息费用(元),"29,819,138.81","132,270,164.99","102,928,214.01","71,528,488.36","40,035,112.10","131,595,408.54","90,927,505.53",-,-
其中：利息收入(元),"3,314,953.27","19,053,799.83","14,378,030.91","7,461,645.61","2,116,576.47","17,021,057.55","12,942,960.82",-,-
三、其他经营收益
加：公允价值变动收益(元),"571,494.45","4,953,108.00","4,542,708.00","2,768,067.00","3,582,319.00","356,800.00","435,000.00",-,-
加：投资收益(元),"37,826,352.95","112,851,828.34","112,772,170.20","107,867,781.76","-2,545,260.05","115,478,577.02","87,957,370.91","73,443,282.98","-929,497.72"
其中：对联营企业和合营企业的投资收益(元),"37,826,352.95","105,703,130.29","111,459,195.65","107,401,807.19","-2,545,348.82","72,075,241.68","44,583,216.97","30,193,732.55","-2,330,053.72"
资产处置收益(元),"-8,960.01","1,069,356.35","1,030,026.24","1,034,122.27","-2,834.16","243,738.67","97,391.01","1,674.86","3,088.56"
资产减值损失(元),-,-,"11,412,475.86","7,719,942.19","3,082,135.19","33,816,313.85","19,952,268.07","5,989,092.43","-1,196,133.25"
信用减值损失(元),-,-,"9,168,430.71","7,886,705.47",-,-,-,-,-
其他收益(元),"5,402,725.08","13,499,939.69","8,190,042.85","4,544,785.87","4,756,745.58","10,881,766.54","8,594,950.18","4,808,354.12","1,804,175.00"
四、营业利润(元),"156,700,903.79","894,890,287.42","680,484,749.44","465,852,676.93","176,838,681.09","989,955,727.47","746,908,520.61","506,563,023.13","195,460,513.28"
加：营业外收入(元),"572,654.06","5,995,834.86","4,249,311.98","3,198,382.64","1,421,699.45","4,431,740.20","3,018,060.99","1,612,200.06","601,821.78"
减：营业外支出(元),"5,218,647.80","1,213,008.40","533,798.44","321,543.31","324,196.24","2,196,890.63","858,952.32","797,634.91","74,217.97"
五、利润总额(元),"152,054,910.05","899,673,113.88","684,200,262.98","468,729,516.26","177,936,184.30","992,190,577.04","749,067,629.28","507,377,588.28","195,988,117.09"
减：所得税费用(元),"24,754,214.04","182,423,028.08","132,327,885.36","85,932,865.02","40,929,061.17","222,621,605.17","174,522,062.81","108,374,168.41","42,751,323.59"
六、净利润(元),"127,300,696.01","717,250,085.80","551,872,377.62","382,796,651.24","137,007,123.13","769,568,971.87","574,545,566.47","399,003,419.87","153,236,793.50"
(一)按经营持续性分类
持续经营净利润(元),"127,300,696.01","717,250,085.80","551,872,377.62","382,796,651.24","137,007,123.13","769,568,971.87","574,545,566.47","399,003,419.87","153,236,793.50"
(二)按所有权归属分类
归属于母公司股东的净利润(元),"112,896,271.07","630,032,131.15","488,364,891.47","342,291,100.67","117,944,178.23","685,569,918.31","518,968,326.85","359,720,497.58","135,114,338.94"
少数股东损益(元),"14,404,424.94","87,217,954.65","63,507,486.15","40,505,550.57","19,062,944.90","83,999,053.56","55,577,239.62","39,282,922.29","18,122,454.56"
扣除非经常性损益后的净利润(元),"112,130,939.93","611,717,498.69","472,740,873.29","332,212,938.80","111,083,799.02","638,690,866.43","477,427,159.79","322,791,253.96","132,599,226.02"
七、每股收益
一、基本每股收益(元),0.11,0.60,0.47,0.33,0.16,0.95,0.72,0.50,0.19
二、稀释每股收益(元),0.11,0.60,0.47,0.33,0.16,0.95,0.72,0.50,0.19
八、其他综合收益(元),"34,318,041.46","40,619,327.52","56,090,956.81","8,854,264.42","-32,669,278.16","68,040,939.40","73,941,539.21","17,957,819.11","-47,617,038.30"
归属于母公司股东的其他综合收益(元),"30,321,003.63","35,092,151.67","47,646,526.66","8,171,691.06","-27,141,466.09","56,595,174.93","61,865,134.73","13,871,447.41","-40,522,912.21"
归属于少数股东的其他综合收益(元),"3,997,037.83","5,527,175.85","8,444,430.15","682,573.36","-5,527,812.07","11,445,764.47","12,076,404.48","4,086,371.70","-7,094,126.09"
九、综合收益总额(元),"161,618,737.47","757,869,413.32","607,963,334.43","391,650,915.66","104,337,844.97","837,609,911.27","648,487,105.68","416,961,238.98","105,619,755.20"
归属于母公司所有者的综合收益总额(元),"143,217,274.70","665,124,282.82","536,011,418.13","350,462,791.73","90,802,712.14","742,165,093.24","580,833,461.58","373,591,944.99","94,591,426.73"
归属于少数股东的综合收益总额(元),"18,401,462.77","92,745,130.50","71,951,916.30","41,188,123.93","13,535,132.83","95,444,818.03","67,653,644.10","43,369,293.99","11,028,328.47"
公告日期,2020-04-28,2020-03-26,2019-10-24,2019-08-28,2019-04-24,2019-03-28,2018-10-26,2018-08-22,2018-04-20
审计意见(境内),标准无保留意见,标准无保留意见
原始财报文件下载,下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF),下载财报(PDF)
